nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
,,Gregory Goyle,Gregory_Goyle
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,Luna Lovegood,Luna_Lovegood
,,Neville Longbottom,Neville_Longbottom
,,Pansy Parkinson,Pansy_Parkinson
,,Ron Weasley,Ron_Weasley
,,Severus Snape,Severus_Snape
,,Sirius Black,Sirius_Black
,,Vincent Crabbe,Vincent_Crabbe
Helena Ravenclaw,Helena_Ravenclaw,Albus Dumbledore,Albus_Dumbledore
,,Alecto Carrow,Alecto_Carrow
,,Amycus Carrow,Amycus_Carrow
,,Bloody Baron,Bloody_Baron
,,Filius Flitwick,Filius_Flitwick
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,Katie Bell,Katie_Bell
,,Kingsley Shacklebolt,Kingsley_Shacklebolt
,,Lord Voldemort,Lord_Voldemort
,,Minerva McGonagall,Minerva_McGonagall
,,Nicholas de MimsyPorpington,Nicholas_de_MimsyPorpington
,,Rowena Ravenclaw,Rowena
,,Rubeus Hagrid,Rubeus_Hagrid
,,Severus Snape,Severus_Snape
Rowena Ravenclaw,Rowena,Bloody Baron,Bloody_Baron
,,Godric Gryffindor,Godric_Gryffindor
,,Helena Ravenclaw,Helena_Ravenclaw
,,Helga Hufflepuff,Helga_Hufflepuff
,,Salazar Slytherin,Salazar_Slytherin
,,Xenophilius Lovegood,Xenophilius_Lovegood
Mary Riddle,Mary_Riddle,Frank Bryce,Frank_Bryce
,,Lord Voldemort,Lord_Voldemort
,,Marvolo Gaunt,Marvolo_Gaunt
,,Merope Gaune,Merope_Gaunt
,,Morfin Gaunt,Morfin_Gaunt
,,Thomas Riddle,Thomas_Riddle
,,Tom Riddle Sr.,Tom_Riddle_Sr.
Thomas Riddle,Thomas_Riddle,Frank Bryce,Frank_Bryce
,,Lord Voldemort,Lord_Voldemort
,,Marvolo Gaunt,Marvolo_Gaunt
,,Mary Riddle,Mary_Riddle
,,Merope Gaune,Merope_Gaunt
,,Morfin Gaunt,Morfin_Gaunt
,,Tom Riddle Sr.,Tom_Riddle_Sr.
Tom Riddle Sr.,Tom_Riddle_Sr.,Albus Dumbledore,Albus_Dumbledore
,,Barty Crouch Jr.,Bartemius_Crouch_Jr.
,,Bob Ogden,Bob_Ogden
,,Cadmus Peverell,Cadmus_Peverell
,,Frank Bryce,Frank_Bryce
,,Harry Potter,Harry_Potter
,,Lord Voldemort,Lord_Voldemort
,,Marvolo Gaunt,Marvolo_Gaunt
,,Mary Riddle,Mary_Riddle
,,Merope Gaune,Merope_Gaunt
,,Morfin Gaunt,Morfin_Gaunt
,,Peter Pettigrew,Peter_Pettigrew
,,Salazar Slytherin,Salazar_Slytherin
,,Scabbers,Scabbers
,,Severus Snape,Severus_Snape
,,Thomas Riddle,Thomas_Riddle
,,Wormtail,Wormtail
Lord Voldemort,Lord_Voldemort,Aberforth Dumbledore,Aberforth_Dumbledore
,,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Albus Dumbledore,Albus_Dumbledore
,,Alecto Carrow,Alecto_Carrow
,,Amelia Bones,Amelia_Bones
,,Amycus Carrow,Amycus_Carrow
,,Andromeda Tonks,Andromeda_Tonks
,,Antonin Dolohov,Antonin_Dolohov
,,Aragog,Aragog
,,Augusta Longbottom,Augusta_Longbottom
,,Augustus Rookwood,Augustus_Rookwood
,,Barty Crouch Jr.,Bartemius_Crouch_Jr.
,,Barty Crouch Sr.,Bartemius_Crouch_Sr.
